id,startup_id,tipo,titulo,conteudo_texto,url_fonte,data_publicacao
doc-01-1,startup-01,site institucional,Traive - pagina inicial,"Traive conecta produtores agricolas ao mercado de capitais atraves de duas frentes: Traive Agro (comercializacao de credito) e Traive Finance (analise de risco e acesso a investimentos). Usa IA proprietaria para gerar score de credito e automatizar a esteira de analise, atendendo mais de 160 mil produtores cadastrados e movimentando cerca de R$60 bilhoes em ativos de credito agricola. [OBS: este documento e um resumo, nao a transcricao literal da pagina - substituir pelo texto bruto completo se quiser padronizar com os demais]",https://traive.com.br,nao encontrado
doc-01-2,startup-01,noticia,Traive capta US$ 20 milhoes em rodada com Banco do Brasil,"Traive anunciou rodada de US$20 milhoes com participacao do Banco do Brasil, via fundo BB Impacto ASG I, gerido pela Vox Capital. A tecnologia avalia mais de 2500 pontos de dados para criar perfis de risco no agronegocio, com metodologia revisada pela ACM (Association for Computing Machinery). O CEO Fabricio Pezente afirmou que o capital sera usado para aprimorar a tecnologia, expandir operacoes no Brasil e lancar uma plataforma de negociacao de credito conectando fornecedores de insumos ao mercado de capitais. Rodrigo Vasconcelos, diretor de negocios digitais do Banco do Brasil, disse que as solucoes podem acelerar o processo de transformacao digital da instituicao financeira. [OBS: resumo, nao transcricao literal]",https://traive.com.br/en/blog/imprensa/traive-capta-us-20-milhoes-em-rodada-com-banco-do-brasil/,nao encontrado
doc-01-3,startup-01,noticia,Traive levanta US$10 milhoes com braco de VC da alema BASF,"Fintech do credito agricola fundada por capixabas recebeu aporte da BASF Venture Capital, reforcando o uso de inteligencia artificial da empresa para analise de risco de credito no agronegocio. [OBS: resumo, nao transcricao literal]",https://braziljournal.com/traive-levanta-us-10-milhoes-com-a-basf/,nao encontrado
doc-02-1,startup-02,site institucional,Nagro: Crédito Agro Sem Burocracia,"Descomplicamos o dinheiro para você focar no que importa: produzir. Fintech regulada pelo Banco Central, especializada no agronegócio brasileiro. Soluções 100% digitais voltadas para o produtor rural. BACEN Regulada. Sem garantia real. Aprovação em 24h. 27 estados. Crédito regulado, com a velocidade do campo. Da origem do capital ao PIX na sua conta — em quatro etapas auditadas pelo Banco Central. Mesma régua dos grandes bancos. Sem o ritual deles. Os 4 passos do crédito nagro. Como o mercado avalia você. Quatro pilares que decidem se o seu crédito é aprovado. Histórico de adimplência. Capacidade de geração de receita. Relacionamento bancário. Score e bureaus de crédito. Crédito, conhecimento e clareza sobre o seu perfil. Capital para cada momento da operação. Conhecimento prático para decidir melhor. Descubra como os bancos avaliam você. O mercado já viu o seu CPF. Você não. Prepare-se para um novo padrão de agro. Crédito em 24h. Educação aplicada. Identidade do Produtor. BACEN regulada. Histórias do campo, números reais. Quase uma década conectando capital institucional ao campo brasileiro. Líderes do futuro. Mais de 100 pessoas que escolheram dedicar a carreira a uma tese específica. Construímos a tese. Provamos em escala. Mais de R$ 700 milhões operados desde 2017. Mais de 16 mil produtores rurais atendidos. Aplicativo baixado por mais de 100 mil produtores. Fundada em 2017 em Uberlândia, Minas Gerais.",https://nagro.com.br/,nao encontrado
doc-02-2,startup-02,noticia,"Nagro, a fintech do pequeno produtor rural, atrai o Rabobank e o Itaú","A Nagro captou uma série B de R$ 50 milhões junto ao Rabobank e ao Itaú, depois de já ter levantado R$ 47 milhões em rodadas anteriores, totalizando R$ 97 milhões captados até aqui. O valuation não foi divulgado. Em 2025 a empresa originou R$ 115 milhões em crédito e projeta cerca de R$ 200 milhões para 2026, depois de crescer 50% em receita em 2025 e alcançar EBITDA positivo. A companhia foi fundada por Gustavo Alves, Leonardo Rodovalho e Vinícius Dutra e opera duas verticais: uma fintech de crédito direto para produtores rurais de pequeno e médio porte, com faturamento anual entre R$ 500 mil e R$ 20 milhões, e a AgRisk, plataforma de analytics que atende 1.400 provedores de crédito, entre eles o Banco Cargill e a Coopercitrus. ""Our idea was using technology to significantly reduce that cost of service and make these transactions viable"", diz o fundador Gustavo Alves. Os recursos da rodada serão reinvestidos em análise de crédito com inteligência artificial e na expansão da plataforma, mantendo a operação rentável.",https://braziljournal.com/nagro-a-fintech-do-pequeno-produtor-rural-atrai-o-rabobank-e-o-itau/,2026-01-21
doc-02-3,startup-02,noticia,Brazilian Agro-Fintech Startup Nagro Raises USD $49M to Offer Credit to Rural Producers,"Nagro, a Brazilian agro-fintech startup that provides credit to rural producers, has raised a Series A funding round worth USD $49M through a mix of credit and equity financing. The round included the participation of Kinea Ventures and Revolution funds. The funds raised will be used to invest in the expansion of Nagro's two main verticals: 1. The analysis and monitoring of credit risk for companies through the AgRisk platform. 2. The provision of credit through the two already captured Fiagros. In total, Nagro has disbursed over USD $60M to more than 5,000 rural producers, all serviced 100% digitally. ""We want to help improve the quality of credit granted, support the industry and distributors in conducting more business with technology and smart credit, and primarily assist small and medium-sized producers in all phases of their business, from short-term working capital operations to long-term investments,"" says Mateus Carrijo, CMO of Nagro. Currently, more than 500,000 rural producers have already been analyzed by the AgRisk platform. Credit provision is spread across 40 different crops and in over 2,000 municipalities.",https://www.hyperlatam.com/nagro-raises-usd-49m/,2023-09-25
doc-03-1,startup-03,site institucional,Datarisk – Como dados podem gerar valor a sua empresa,"Datarisk – Como dados podem gerar valor a sua empresa. Soluções. Produtos. Plataforma de MLOps. ChurnAI. Consultoria. Model as a service. Enterprise. Agentes de IA. Parceria. Setores. Instituições financeiras. Marketing. Supply Chain. People Analytics. Varejo. Saúde. Datarisk. Trabalhe Conosco. Fique por dentro. Blog. Imprensa. Materiais. Fale com nosso Time. Destrave o potencial da Machine Learning. Treine, implemente e monitore seus modelos com nossa plataforma de MLOps. Melhoramos suas decisões através de dados. Antecipe cancelamentos antes que impactem sua receita recorrente. A Datarisk gera insights mudando a realidade. Histórias de Sucesso. 50 + clientes atendidos. 80 % da equipe especializada em Engenharia e Ciência de Dados. Datarisk agora é WeCogno: uma nova fase para transformar dados em decisões mais inteligentes. Entre os clientes citados estão Reclame AQUI, Dotz, Cielo e Neon.",https://www.datarisk.io/,nao encontrado
doc-03-2,startup-03,noticia,Mercado de IA impulsiona reestruturação na Datarisk,"A Datarisk, especializada no uso de inteligência artificial aplicada a soluções de gestão de riscos, anunciou a nomeação de Valéria Nery para o cargo de Chief Revenue Officer (CRO). A executiva, com mais de 25 anos de experiência em estratégias comerciais, inovação e gestão de projetos, terá a missão de conduzir o plano de crescimento da companhia, que prevê quintuplicar as receitas recorrentes até o final de 2025. Ex-diretora da NTT Data e com passagem pela Globant, Nery acumula atuação em setores como serviços financeiros, saúde, varejo, logística e indústria. A nova CRO é graduada em Computação, possui MBA em Gestão Empresarial pela FIA Business School e especialização em Inovação pela Harvard University. A movimentação ocorre em um contexto de expansão global da demanda por soluções de análise preditiva e MLOps (Machine Learning Operations), segmento no qual a Datarisk foi pioneira no Brasil. Fundada em 2017, a empresa desenvolve modelos próprios para avaliação de renda, risco de crédito e estabilidade empregatícia, além de algoritmos voltados para previsão de comportamento de consumidores.",https://monitormercantil.com.br/mercado-de-ia-impulsiona-reestruturacao-na-datarisk/,2025-08-12
doc-03-3,startup-03,noticia,Oferta de machine learning como serviço democratiza acesso a modelos preditivos para concessão de crédito,"Em um cenário de juros em alta e maior dificuldade para a concessão de crédito, os bancos médios, fintechs e demais organizações que atuam neste segmento aumentam a procura por ferramentas tecnológicas para ampliar a capacidade analítica, evitar perdas por fraudes e inadimplência e ampliar a lucratividade do negócio. Neste contexto, as soluções baseadas na oferta de Machine Learning como serviço ganham cada vez maior protagonismo por viabilizar a democratização de modelos preditivos mais precisos sem a necessidade de investimentos em infraestrutura própria de hospedagem e manutenção além de eliminarem a exigência de times especializados em machine learning para seu desenvolvimento. Uma das referências neste conceito no Brasil é a Datarisk, empresa especializada no uso de inteligência artificial para gerar valor no conceito decision as a service. Ao longo de 2024 a companhia registrou mais de 10 milhões de consultas nas APIs de sua solução MaaS (Machine Learning as a Service). A expectativa da empresa é de que a plataforma supere a marca de 50 milhões de requisições até o final de 2025.",https://monitormercantil.com.br/oferta-de-machine-learning-como-servico-democratiza-acesso-a-modelos-preditivos-para-concessao-de-credito/,2025-05-13
doc-04-1,startup-04,site institucional,Transitioning Food Systems | Agrosmart,"Transitioning Food Systems | Agrosmart. Descubra como nossas soluções de monitoramento climático e de indicadores ESG estão ajudando produtores e agro indústrias. Transição da Agricultura: a chave para combater a crise climática. Mais resiliente, adaptada e gerando impacto positivo. Para todo o agronegócio: soluções de ponta a ponta. BoosterAGRO - Gratuito, Fácil de usar, Para o dia a dia. A maior rede de colaboração entre produtores no app número 1 do agro. BoosterPRO - Controle, Previsibilidade, Mais produtividade. Plataforma ESG - Gestão de riscos, Sustentabilidade, Compliance. O clima traz desafios, a Agrosmart soluções. Já apoiamos + 100 mil produtores na América Latina. +90 culturas, +48M de hectares, +9 países. Escritórios: Campinas (SP), São Paulo (SP), Manaus (AM), Assunção (Paraguai), Buenos Aires (Argentina) e Salinas (Califórnia, EUA).",https://agrosmart.com.br/,nao encontrado
