id,nome,site,setor,setor_detalhado,estagio,localizacao,descricao_curta,ano_fundacao,tamanho_time
startup-01,Traive,https://traive.com.br,agtech,agrofintech (credito agricola),growth - multiplas rodadas (US$10M BASF; US$20M Banco do Brasil),Operacao e fundadores no Brasil (Espirito Santo); sede formal nos EUA,"Fintech que usa IA proprietaria para analisar mais de 2500 pontos de dados agricolas e climaticos, gerando score de credito para produtores rurais e conectando-os a capital e mercado financeiro.",2017,nao encontrado
startup-02,Nagro,https://nagro.com.br/,agtech,agro / fintech de crédito rural,série B,Uberlândia-MG,"Fintech regulada pelo Banco Central como Sociedade de Crédito Direto (Resolução CMN 4.656/2018), especializada em crédito 100% digital para produtores rurais, com linhas de até R$ 150 mil sem garantia real e aprovação em 24h. Opera também a plataforma de análise e monitoramento de risco de crédito AgRisk.",2017,mais de 100 pessoas
startup-03,Datarisk,https://www.datarisk.io/,fintech,fintech / risco de crédito com machine learning,nao encontrado,nao encontrado,"Empresa de inteligência artificial aplicada a gestão de riscos que oferece plataforma de MLOps, Model as a Service e modelos próprios para avaliação de renda, risco de crédito e estabilidade empregatícia. Passou a se chamar WeCogno.",2017,nao encontrado
startup-04,Agrosmart,https://agrosmart.com.br/,agtech,agtech / dados climáticos e agricultura de precisão,nao encontrado,Campinas-SP,"Plataforma de inteligência agrícola que faz monitoramento climático, manejo de irrigação e acompanhamento de indicadores ESG para produtores e agroindústrias, com os produtos BoosterAGRO, BoosterPRO e Plataforma ESG.",2014,nao encontrado
startup-05,Justos,https://www.justos.com.br/,insurtech,insurtech / seguro auto com IA,"growth (rodada de R$ 92 milhões liderada pela Ribbit Capital, após série A)",Barueri-SP,"Seguradora digital de automóveis que usa inteligência artificial, telemetria do celular e design para precificar o risco pelo comportamento ao volante e recompensar motoristas conscientes com descontos e vouchers.",2020,cerca de 90 pessoas
startup-06,Cortex Intelligence,https://www.cortex-intelligence.com/,dados e IA,inteligência de dados B2B / Go-to-Market,série C (aporte de R$ 260 milhões liderado pela Lightrock),São Paulo-SP,"Plataforma SaaS de Go-to-Market Intelligence que combina big data, georreferenciamento e modelos de IA para orientar decisões de vendas, expansão de varejo e reputação de marca, com as soluções Growth, Geofusion, Brand e Reach.",2003,cerca de 500 pessoas
startup-07,Arvo,https://arvo.com.br,healthtech,healthtech,serie A,Rio de Janeiro-RJ,"Plataforma de auditoria de contas medicas baseada em inteligencia artificial que analisa cobrancas de hospitais, clinicas e laboratorios as operadoras de planos de saude e identifica erros, abusos e fraudes antes do pagamento.",2022,nao encontrado
startup-08,Isa Saude,https://isasaude.com,healthtech,healthtech,serie B,Sao Paulo-SP,"Healthtech de ""hospital em casa"" que leva tratamentos de alta complexidade clinica ao domicilio, com plataforma digital que acompanha cada etapa do cuidado e uso de IA para sinalizar sinais precoces de deterioracao do paciente.",2019,nao encontrado
startup-09,Portal Telemedicina,https://portaltelemedicina.com.br,healthtech,healthtech,nao encontrado,Barueri-SP,"Plataforma de telediagnostico que integra equipamentos de clinicas e hospitais a uma central de medicos especialistas, emitindo laudos a distancia em ate 24 horas (minutos em urgencias) com apoio de inteligencia artificial na triagem e na analise dos exames.",2013,nao encontrado
startup-10,Laura,https://laura-br.com,healthtech,healthtech,nao encontrado,Curitiba-PR,"Healthtech curitibana cuja inteligencia artificial se conecta aos prontuarios eletronicos, analisa mais de 90 variaveis clinicas e alerta as equipes assistenciais sobre sepse e deterioracao clinica com horas a dias de antecedencia.",2016,nao encontrado
startup-11,Jusbrasil,https://www.jusbrasil.com.br,legaltech,legaltech,nao encontrado,Salvador-BA,"Empresa de tecnologia que organiza, estrutura e disponibiliza informacoes juridicas publicas e abertas, com busca de jurisprudencia, legislacao e pecas processuais e o assistente de IA generativa Jus IA.",2008,nao encontrado
startup-12,Blip,https://www.blip.ai,CX e atendimento,IA conversacional / atendimento ao cliente (CX),growth,Belo Horizonte-MG,"Plataforma de inteligencia conversacional que orquestra jornadas de atendimento, vendas e pos-venda em canais como WhatsApp, Instagram, RCS e Apple Messages. Combina chatbots, agentes de IA (Studio e BLU) e atendimento humano para marcas enterprise.",1999,nao encontrado
startup-13,Weni,https://github.com/weni-ai,CX e atendimento,IA conversacional / customer experience (open source),adquirida (comprada pela VTEX em 2024),Maceio-AL,Plataforma open source de IA conversacional e hiperautomacao que conecta dados e canais como WhatsApp para atendimento e experiencia do cliente. Foi adquirida pela VTEX em setembro de 2024 e passou a operar como unidade de negocios independente; o dominio weni.ai hoje redireciona para a VTEX.,2012,nao encontrado
startup-14,Tako,https://tako.ai,hrtech,HR tech / folha de pagamento e operacoes de pessoas com IA,serie A,Sao Paulo-SP,"HR tech que usa agentes de IA para operar o ciclo completo de RH, da admissao ao desligamento, com fechamento de folha de pagamento automatizado, camada de legislacao trabalhista (Otto) e um recrutador de IA por voz (Tako Recruiter / Nara).",2022,nao encontrado
startup-15,Gupy,https://www.gupy.io,hrtech,HR tech / recrutamento e selecao,growth,Sao Paulo-SP,"Plataforma de tecnologia para RH que reune recrutamento e selecao, admissao, educacao corporativa, clima e engajamento e performance. Usa agentes de IA proprios para ordenar curriculos por afinidade com a vaga, ignorando dados sensiveis.",2015,mais de 750 pessoas
